rebalance_date,overall_tradable_nav,overall_basket_level,overall_cash_weight,overall_price_coverage_share,n_baskets,total_entries,total_exits,total_turnover,rebalanced_baskets
2024-04-07,155.03299926291766,155.03299926291766,0.8712777618911448,0.8280907444476219,10,0,0,0.0,9
2024-04-08,155.03299926291766,155.03299926291766,0.8712777618911448,0.8280907444476219,10,0,0,0.0,9
2024-04-09,155.03299926291766,155.03299926291766,0.8712777618911448,0.8280907444476219,10,0,0,0.0,9
2024-04-10,155.03299926291766,155.03299926291766,0.8712777618911448,0.8280907444476219,10,0,0,0.0,9
2024-04-11,155.03299926291766,155.03299926291766,0.8712777618911448,0.8280907444476219,10,0,0,0.0,9
2024-04-12,155.03299926291766,155.03299926291766,0.8712777618911448,0.8280907444476219,10,0,0,0.0,9
2024-04-13,155.03299926291766,155.03299926291766,0.8712777618911448,0.8280907444476219,10,0,0,0.0,9
2024-04-14,155.03299926291766,155.03299926291766,0.8712777618911448,0.8280907444476219,10,0,0,0.0,9
2024-04-15,155.03299926291766,155.03299926291766,0.8712777618911448,0.8280907444476219,10,0,0,0.0,9
2024-04-16,155.03299926291766,155.03299926291766,0.8712777618911448,0.8280907444476219,10,0,0,0.0,9
2024-04-17,155.03299926291766,155.03299926291766,0.8712777618911448,0.8280907444476219,10,0,0,0.0,9
2024-04-18,155.03299926291766,155.03299926291766,0.8712777618911448,0.8280907444476219,10,0,0,0.0,9
2024-04-19,155.03299926291766,155.03299926291766,0.8712777618911448,0.8280907444476219,10,0,0,0.0,9
2024-04-20,155.03299926291766,155.03299926291766,0.8712777618911448,0.8280907444476219,10,0,0,0.0,9
2024-04-21,155.03299926291766,155.03299926291766,0.8712777618911448,0.8280907444476219,10,0,0,0.0,9
2024-04-22,155.03299926291766,155.03299926291766,0.8712777618911448,0.8280907444476219,10,0,0,0.0,9
2024-04-23,155.03299926291766,155.03299926291766,0.8712777618911448,0.8280907444476219,10,0,0,0.0,9
2024-04-24,155.03299926291766,155.03299926291766,0.8712777618911448,0.8280907444476219,10,0,0,0.0,9
2024-04-25,155.03299926291766,155.03299926291766,0.8712777618911448,0.8280907444476219,10,0,0,0.0,9
2024-04-26,155.03299926291766,155.03299926291766,0.8712777618911448,0.8280907444476219,10,0,0,0.0,9
2024-04-27,155.03299926291766,155.03299926291766,0.7819464302735679,0.9221237250977029,10,1,0,0.4749999999999999,9
2024-04-28,144.08825521161737,144.08825521161737,0.7838205141536569,0.9221237250977029,10,0,0,0.0,8
2024-04-29,119.2801686953367,119.2801686953367,0.8712777618911448,0.8280907444476219,10,0,1,0.0,9
2024-04-30,119.2801686953367,119.2801686953367,0.8712777618911448,0.8280907444476219,10,1,1,0.4749999999999999,10
2024-05-01,119.2801686953367,119.2801686953367,0.9106686683824231,1.0,10,2,1,0.4749999999999999,10
2024-05-02,119.01519068146311,119.01519068146311,0.911191073830479,1.0,10,0,0,0.0,9
2024-05-03,118.68396816412113,118.68396816412113,0.9106686683824231,0.9529835096749596,10,0,1,0.14513888888888887,10
2024-05-04,118.68396816412113,118.68396816412113,1.0,0.9059670193499191,10,0,1,0.0,10
2024-05-05,118.68396816412113,118.68396816412113,1.0,0.9059670193499191,10,0,0,0.0,10
2024-05-06,118.68396816412113,118.68396816412113,1.0,0.9059670193499191,10,0,0,0.0,10
2024-05-07,118.68396816412113,118.68396816412113,1.0,0.9059670193499191,10,0,0,0.0,10
2024-05-08,118.68396816412113,118.68396816412113,1.0,0.9059670193499191,10,0,0,0.0,10
2024-05-09,118.68396816412113,118.68396816412113,1.0,0.9059670193499191,10,0,0,0.0,10
