rebalance_date,domain,basket_code,basket_name,avg_days_to_expiry,expiring_30d_share,expiring_60d_share,certainty_share,turnover,base_cost_bps,turnover_component_bps,expiry_component_bps,certainty_component_bps,estimated_total_cost_bps,estimated_cost_drag_return,cash_weight
2025-03-01,CONFLICT,ADIT-S2,Europe War & NATO Conflict,169.6875,0.1875,0.375,0.0,0.7314724183117046,18.0,25.601534640909662,4.125,0.0,47.72653464090966,0.0034910643711423533,0.18
2025-03-01,CONFLICT,ADIT-S3,Middle East Armed Conflict,167.5,0.5,0.5,0.0,0.44999999999999996,18.0,15.749999999999998,8.0,0.0,41.75,0.0018787499999999998,0.22999999999999998
2025-03-01,CONFLICT,ADIT-S4,US-China Conflict Escalation,59.0,0.0,1.0,0.0,0.065,18.0,2.275,6.0,0.0,26.275,0.0001707875,0.1643
2025-03-01,GENERAL,ADIT-X3,Major Economy Recession,30.0,1.0,1.0,0.0,0.835,18.0,29.224999999999998,16.0,0.0,63.224999999999994,0.005279287499999999,0.22999999999999998
2025-03-01,POLITICAL,ADIT-P2,EM Governance,61.0,0.0,0.0,0.0,0.835,18.0,29.224999999999998,0.0,0.0,47.224999999999994,0.0039432875,0.22999999999999998
2025-03-01,POLITICAL,ADIT-P3,EU Breakup Risk,96.4,0.0,0.4,0.0,0.655,18.0,22.925,2.4000000000000004,0.0,43.324999999999996,0.0028377874999999998,0.22999999999999998
2025-04-01,CONFLICT,ADIT-S2,Europe War & NATO Conflict,142.875,0.3125,0.5,0.0,0.22146273830155977,18.0,7.751195840554592,6.125,0.0,31.876195840554594,0.000705938961748601,0.14872180242634314
2025-04-01,CONFLICT,ADIT-S3,Middle East Armed Conflict,131.0,0.3333333333333333,0.3333333333333333,0.0,0.5820270270270269,18.0,20.37094594594594,5.333333333333333,0.0,43.70427927927928,0.0025437071737277814,0.22999999999999998
2025-04-01,CONFLICT,ADIT-S4,US-China Conflict Escalation,28.0,1.0,1.0,0.0,0.03215000000000001,18.0,1.1252500000000003,16.0,0.0,35.12525,0.00011292767875000005,0.15707300000000002
2025-04-01,GENERAL,ADIT-X3,Major Economy Recession,62.25,0.5,0.875,0.0,0.8350000000000002,18.0,29.225000000000005,10.25,0.0,57.47500000000001,0.004799162500000002,0.22999999999999998
2025-04-01,POLITICAL,ADIT-P2,EM Governance,151.5,0.5,0.5,0.0,0.835,18.0,29.224999999999998,8.0,0.0,55.224999999999994,0.004611287499999999,0.22999999999999998
2025-04-01,POLITICAL,ADIT-P3,EU Breakup Risk,59.333333333333336,0.5,0.5,0.0,0.085,18.0,2.975,8.0,0.0,28.975,0.00024628750000000004,0.16870000000000002
2025-05-01,CONFLICT,ADIT-S2,Europe War & NATO Conflict,186.625,0.125,0.25,0.0,0.42746761685525575,18.0,14.96136658993395,2.75,0.0,35.71136658993395,0.0015265452770843468,0.18
2025-05-01,CONFLICT,ADIT-S3,Middle East Armed Conflict,116.33333333333333,0.16666666666666666,0.6666666666666666,0.0,0.29516756756756757,18.0,10.330864864864864,5.666666666666666,0.0,33.99753153153153,0.001003496868546384,0.21493686486486485
2025-05-01,CONFLICT,ADIT-S4,US-China Conflict Escalation,30.0,1.0,1.0,0.0,0.8714635,18.0,30.501222499999997,16.0,0.0,64.5012225,0.005621046111412874,0.22999999999999998
2025-05-01,GENERAL,ADIT-X3,Major Economy Recession,157.0,0.0,0.5,0.0,0.7387499999999998,18.0,25.856249999999992,3.0,0.0,46.85624999999999,0.0034615054687499986,0.22999999999999998
2025-05-01,POLITICAL,ADIT-P2,EM Governance,244.0,0.0,0.0,0.0,0.45,18.0,15.75,0.0,0.0,33.75,0.00151875,0.22999999999999998
2025-06-01,CONFLICT,ADIT-S2,Europe War & NATO Conflict,91.0,0.0,0.0,0.0,0.8170756745682644,18.0,28.59764860988925,0.0,0.0,46.59764860988925,0.00380738051712202,0.22999999999999998
2025-06-01,CONFLICT,ADIT-S3,Middle East Armed Conflict,98.0,0.625,0.625,0.0,0.4548613436617497,18.0,15.920147028161239,10.0,0.0,43.92014702816124,0.0019977577091051025,0.22999999999999998
2025-06-01,CONFLICT,ADIT-S4,US-China Conflict Escalation,73.5,0.0,0.0,0.0,0.835,18.0,29.224999999999998,0.0,0.0,47.224999999999994,0.0039432875,0.22999999999999998
2025-06-01,GENERAL,ADIT-X3,Major Economy Recession,108.6,0.6,0.6,0.0,0.1933333333333334,18.0,6.766666666666669,9.6,0.0,34.36666666666667,0.0006644222222222225,0.19253333333333333
2025-06-01,POLITICAL,ADIT-P1,China Governance,29.0,1.0,1.0,0.0,0.45,18.0,15.75,16.0,0.0,49.75,0.00223875,0.22999999999999998
2025-06-01,POLITICAL,ADIT-P2,EM Governance,213.0,0.0,0.0,0.0,0.45,18.0,15.75,0.0,0.0,33.75,0.00151875,0.22999999999999998
2025-07-01,CONFLICT,ADIT-S2,Europe War & NATO Conflict,61.0,0.0,0.0,0.0,0.065,18.0,2.275,0.0,0.0,20.275,0.0001317875,0.1643
2025-07-01,CONFLICT,ADIT-S3,Middle East Armed Conflict,34.125,0.625,0.875,0.0,0.8350000000000001,18.0,29.225,11.5,0.0,58.725,0.004903537500000001,0.22999999999999998
